frame,gt_count,pred_count,tp,fp,fn,precision,recall,f1,mae_px,time_s
1,52,45,41,4,11,0.911,0.788,0.845,3.055,4.519
2,52,47,41,3,11,0.932,0.788,0.854,2.896,0.3
3,51,46,41,5,10,0.891,0.804,0.845,2.684,0.296
4,51,43,42,4,9,0.913,0.824,0.866,2.848,0.302
5,51,47,43,2,8,0.956,0.843,0.896,2.807,0.317
6,51,49,44,3,7,0.936,0.863,0.898,3.03,0.322
7,50,44,38,11,12,0.776,0.76,0.768,2.701,0.314
8,50,45,43,3,7,0.935,0.86,0.896,2.893,0.303
9,50,46,44,2,6,0.957,0.88,0.917,3.129,0.307
10,50,45,42,5,8,0.894,0.84,0.866,3.038,0.319
11,50,46,45,1,5,0.978,0.9,0.938,3.226,0.317
12,51,48,45,1,6,0.978,0.882,0.928,3.264,0.315
13,51,47,46,2,5,0.958,0.902,0.929,3.231,0.309
14,51,45,47,0,4,1.0,0.922,0.959,3.126,0.316
15,51,46,46,0,5,1.0,0.902,0.948,3.038,0.316
16,51,45,46,1,5,0.979,0.902,0.939,3.165,0.316
17,51,45,41,5,10,0.891,0.804,0.845,3.345,0.31
18,51,47,42,4,9,0.913,0.824,0.866,3.458,0.311
19,51,46,45,1,6,0.978,0.882,0.928,3.074,0.312
20,51,46,43,3,8,0.935,0.843,0.887,3.049,0.317
21,51,46,43,3,8,0.935,0.843,0.887,2.858,0.316
22,51,46,45,2,6,0.957,0.882,0.918,3.034,0.316
23,51,47,47,0,4,1.0,0.922,0.959,3.044,0.318
24,51,48,47,0,4,1.0,0.922,0.959,3.192,0.313
25,50,47,46,2,4,0.958,0.92,0.939,3.11,0.323
26,50,48,47,0,3,1.0,0.94,0.969,3.016,0.322
27,53,46,48,0,5,1.0,0.906,0.95,3.109,0.324
28,53,47,47,0,6,1.0,0.887,0.94,3.319,0.323
29,53,50,49,1,4,0.98,0.925,0.951,3.347,0.323
30,53,50,44,6,9,0.88,0.83,0.854,3.069,0.324
31,52,50,43,8,9,0.843,0.827,0.835,3.03,0.324
32,52,50,43,7,9,0.86,0.827,0.843,2.998,0.316
33,52,47,44,6,8,0.88,0.846,0.863,2.973,0.311
34,52,49,46,2,6,0.958,0.885,0.92,2.929,0.312
35,52,48,45,4,7,0.918,0.865,0.891,2.885,0.317
36,52,49,46,3,6,0.939,0.885,0.911,3.012,0.326
37,52,48,47,2,5,0.959,0.904,0.931,2.839,0.315
38,52,50,46,1,6,0.979,0.885,0.929,2.895,0.317
39,52,49,47,1,5,0.979,0.904,0.94,3.046,0.313
40,52,50,47,3,5,0.94,0.904,0.922,2.811,0.312
41,52,48,48,1,4,0.98,0.923,0.95,2.963,0.35
42,52,46,48,0,4,1.0,0.923,0.96,3.012,0.338
43,52,46,47,0,5,1.0,0.904,0.949,2.742,0.313
44,52,48,46,0,6,1.0,0.885,0.939,2.722,0.328
45,52,46,45,2,7,0.957,0.865,0.909,2.659,0.335
46,52,51,46,2,6,0.958,0.885,0.92,2.978,0.341
47,52,49,49,1,3,0.98,0.942,0.961,2.978,0.339
48,52,48,47,3,5,0.94,0.904,0.922,3.296,0.347
49,52,46,47,1,5,0.979,0.904,0.94,2.886,0.341
50,52,47,47,0,5,1.0,0.904,0.949,2.805,0.342
51,52,48,46,1,6,0.979,0.885,0.929,2.722,0.344
52,52,50,48,2,4,0.96,0.923,0.941,2.746,0.356
53,53,48,49,1,4,0.98,0.925,0.951,2.953,0.358
54,55,46,48,0,7,1.0,0.873,0.932,2.792,0.355
55,55,49,47,1,8,0.979,0.855,0.913,3.119,0.358
56,55,50,47,1,8,0.979,0.855,0.913,3.163,0.356
57,55,51,48,2,7,0.96,0.873,0.914,3.3,0.357
58,56,49,49,1,7,0.98,0.875,0.925,3.24,0.357
59,56,49,49,1,7,0.98,0.875,0.925,3.298,0.358
60,56,50,49,1,7,0.98,0.875,0.925,2.923,0.358
61,56,50,50,0,6,1.0,0.893,0.943,2.804,0.353
62,56,50,50,0,6,1.0,0.893,0.943,2.775,0.351
63,56,51,50,0,6,1.0,0.893,0.943,2.762,0.358
64,57,52,51,0,6,1.0,0.895,0.944,2.614,0.354
65,57,51,51,0,6,1.0,0.895,0.944,2.603,0.355
66,57,54,52,2,5,0.963,0.912,0.937,2.686,0.357
67,57,52,50,5,7,0.909,0.877,0.893,2.88,0.357
68,58,52,53,0,5,1.0,0.914,0.955,3.103,0.352
69,58,48,52,1,6,0.981,0.897,0.937,3.063,0.359
70,58,46,48,1,10,0.98,0.828,0.897,3.158,0.358
71,58,51,47,0,11,1.0,0.81,0.895,3.277,0.359
72,58,55,46,3,12,0.939,0.793,0.86,3.48,0.358
73,58,58,49,6,9,0.891,0.845,0.867,3.731,0.361
74,59,54,50,8,9,0.862,0.847,0.855,3.818,0.36
75,59,56,50,6,9,0.893,0.847,0.87,3.794,0.36
76,59,57,49,8,10,0.86,0.831,0.845,4.104,0.359
77,59,54,53,6,6,0.898,0.898,0.898,3.904,0.361
78,59,51,51,4,8,0.927,0.864,0.895,3.313,0.362
79,59,50,49,4,10,0.925,0.831,0.875,3.236,0.361
80,59,49,47,4,12,0.922,0.797,0.855,3.257,0.361
81,59,49,47,3,12,0.94,0.797,0.862,3.332,0.359
82,59,50,48,1,11,0.98,0.814,0.889,3.195,0.36
83,59,51,50,1,9,0.98,0.847,0.909,3.102,0.361
84,59,51,51,1,8,0.981,0.864,0.919,3.155,0.36
85,59,51,51,0,8,1.0,0.864,0.927,3.265,0.359
86,59,53,50,0,9,1.0,0.847,0.917,3.328,0.361
87,58,53,47,6,11,0.887,0.81,0.847,3.198,0.359
88,58,51,46,7,12,0.868,0.793,0.829,3.364,0.36
89,58,54,45,7,13,0.865,0.776,0.818,3.157,0.359
90,58,54,46,9,12,0.836,0.793,0.814,3.19,0.36
91,58,53,47,9,11,0.839,0.81,0.825,3.107,0.359
92,57,51,45,8,12,0.849,0.789,0.818,3.143,0.359
93,57,49,47,5,10,0.904,0.825,0.862,3.115,0.359
94,57,51,50,3,7,0.943,0.877,0.909,3.278,0.359
95,57,49,48,3,9,0.941,0.842,0.889,3.14,0.359
96,57,48,47,3,10,0.94,0.825,0.879,3.21,0.359
97,57,50,48,2,9,0.96,0.842,0.897,3.025,0.359
98,57,54,49,3,8,0.942,0.86,0.899,3.308,0.36
99,59,51,52,1,7,0.981,0.881,0.929,2.913,0.36
100,60,54,54,1,6,0.982,0.9,0.939,2.85,0.362
101,60,53,55,2,5,0.965,0.917,0.94,2.692,0.379
102,60,53,54,1,6,0.982,0.9,0.939,2.66,0.378
103,60,52,52,1,8,0.981,0.867,0.92,2.712,0.369
104,59,53,52,1,7,0.981,0.881,0.929,2.564,0.36
105,59,54,49,3,10,0.942,0.831,0.883,2.475,0.358
106,59,52,47,6,12,0.887,0.797,0.839,2.547,0.36
107,58,53,44,9,14,0.83,0.759,0.793,2.458,0.363
108,58,54,46,8,12,0.852,0.793,0.821,2.667,0.359
109,59,56,47,8,12,0.855,0.797,0.825,2.899,0.359
110,59,54,50,7,9,0.877,0.847,0.862,2.881,0.358
111,58,55,48,7,10,0.873,0.828,0.85,2.928,0.36
112,59,54,48,8,11,0.857,0.814,0.835,2.994,0.361
113,60,54,49,5,11,0.907,0.817,0.86,2.811,0.359
114,59,55,51,4,8,0.927,0.864,0.895,3.048,0.359
115,59,57,51,5,8,0.911,0.864,0.887,2.965,0.362
116,59,54,49,8,10,0.86,0.831,0.845,2.754,0.359
117,60,53,55,0,5,1.0,0.917,0.957,2.94,0.359
118,59,56,52,3,7,0.945,0.881,0.912,3.067,0.36
119,59,54,49,6,10,0.891,0.831,0.86,3.247,0.36
120,60,53,51,4,9,0.927,0.85,0.887,3.212,0.359
